Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0.079231,0.41526,0.20267,1.78,176.54,0.0,0.10014,1.4081,3.7747,0.58474,0.12972,0.3854,0.026529,0.10014,1513.6,0.24115,2.4081,0.10014,0.026529,12.971,1.1293,0.12768,0.02099,0.21394,0.26277,0.1908,4.3161,0.37707,5.1932,0.09931,0.027808,29.696,12.402,7.76,0.1265,3.7747,8.6159,0.62285,0.033513,0.17614,0.10841,0.033826,40.298,27.327,0.59068,1.2638,0.033513,0.12768,0.033826,1.1138,0.25983,0.080634,1.0879,1.1588,31625.0,0.1539,0.1355,0.86153,0.065178,28.141,13.357,25.125,14.527,7.0227,0
0.0034145,1.3033,0.21821,2.3538,-4.257,-0.25107,0.0039846,-0.24681,1.0621,-0.32167,0.0039846,0.024722,0.026896,0.0039846,14751.0,0.024744,0.76728,0.0039846,0.0033232,70.235,2.0256,0.057049,0.0028477,-0.25039,-0.32167,0.024306,0.50532,0.3516,4.3553,1.0343,0.0033232,52.11,7.0044,0.043772,0.057049,1.2188,0.13016,0.82046,0.047579,0.39488,0.50225,0.047579,96.116,25.881,0.014799,0.92236,74.593,0.028785,0.024007,0.2911,0.16118,0.14277,-0.51832,1.322,4945.1,0.058428,-0.010615,0.94157,-3.5506,5.1968,14.103,49.065,7.4391,1.932,0
0.047082,0.56367,0.19185,2.1442,-20.019,0.32158,0.055883,0.77408,1.0109,0.43633,0.075648,0.33329,0.066243,0.055883,3072.3,0.11881,1.7741,0.055883,0.055279,83.201,0.85222,8.599e-06,0.046573,0.057155,0.42599,0.10319,0.00043507,0.29955,7.099,0.55758,0.055279,63.438,5.7748,1.7178,0.046211,1.0109,0.32597,0.83233,0.045711,0.086143,1.6938,8.506e-06,124.59,41.392,0.20431,0.76987,86.867,-0.011076,-0.010956,0.63783,0.16767,0.17317,0.68125,1.2995,2.1442,0.045711,0.1079,0.90674,0.90758,4.387,8.8181,60.538,6.0292,1.5784,0
0.040089,0.77266,0.11724,1.152,-26.314,0.0,0.040089,0.29422,0.91757,0.22734,0.086739,0.051983,0.053237,0.040089,5773.4,0.063221,1.2942,0.040089,0.04369,69.975,0.94407,0.086738,0.04369,0.062823,0.048143,0.063221,1.8593,1.0507,4.0477,0.83956,0.074589,338.69,1.0777,1.0756,0.086483,0.91757,,0.22734,0.094252,0.0048658,0.2697,0.09453,351.91,281.94,0.22789,0.92392,77.257,0.077978,0.084984,1.1498,0.77118,0.92792,2.0374,2.0374,1308.5,0.094252,0.17634,0.95632,0.0,5.2162,1.2946,306.77,1.1898,8.2234,0
0.01325,0.11654,0.69782,6.9879,102.77,0.21668,0.021259,7.2858,1.0145,0.84907,0.021259,0.18243,0.036036,0.021259,582.38,0.62674,8.5809,0.021259,0.010489,23.344,0.78798,0.014739,0.0065372,0.28167,0.84907,0.55801,0.073772,3.759,4.065,-0.037717,0.010489,21.291,17.144,0.12647,0.014739,2.0812,,0.84907,0.0072717,1.7644,0.057599,0.0072717,109.62,86.28,0.10222,5.8756,23.682,-0.037041,-0.018275,6.9879,0.11654,0.058331,4.5737,4.5737,8104.3,0.014297,0.015605,0.9857,0.0,15.636,4.2304,20.986,17.392,10.918,0
0.31522,0.094237,0.88811,10.499,232.04,0.0,0.38657,9.6115,1.6965,0.90576,0.42464,4.1346,0.23069,0.38657,87.891,4.1529,10.612,0.38657,0.22787,0.0,1.105,0.33703,0.18581,0.73633,0.89421,3.3958,8.8518,48.29,3.6362,-0.22371,0.22793,25.081,14.553,14.438,0.33584,1.6965,,0.90576,0.19796,5.2191,0.0091899,0.19867,106.21,106.21,,10.499,0.0,0.33224,0.19584,10.416,0.093495,0.068715,49.249,49.249,3843.3,0.19796,0.34802,0.78348,0.0,,3.4366,20.116,18.145,92.242,0
-0.074471,0.83361,-0.24873,0.57722,-80.459,0.0,-0.074471,0.1996,2.127,0.16639,0.031822,-0.12658,0.0113,-0.074471,12660.0,0.028832,1.1996,-0.074471,-0.035012,34.622,0.79433,0.031813,-0.035012,0.0056837,-0.12619,0.028832,0.29929,-0.37663,3.8696,0.38604,-0.024487,100.33,3.6378,2.5674,-0.013245,2.127,0.56383,0.41086,-0.0062271,0.031181,0.21322,0.014957,55.128,20.506,-0.36912,0.23429,34.408,-0.066692,-0.031355,0.40738,0.58832,0.27489,0.25195,0.62213,-1842.3,-0.0062271,-0.44756,1.0339,1.4692,10.542,17.8,100.96,3.6153,3.2207,0
0.15025,0.057774,0.47494,9.2206,192.57,0.0,0.15025,16.309,0.9611,0.94223,0.15856,2.6006,0.2149,0.15025,102.1,3.5749,17.309,0.15025,0.15633,54.274,0.91162,0.0,0.15633,0.59708,0.93734,3.5749,0.0,1.0164,4.0097,-0.27292,0.35295,31.227,11.689,11.689,0.047062,0.9611,,0.94223,0.048967,5.5561,0.034213,0.0,80.405,26.131,1.0513,6.747,77.244,-0.056288,-0.058566,9.2206,0.057774,0.085553,2.0164,2.0164,4856.8,0.29736,0.15946,0.72381,0.0,6.7251,13.968,21.941,16.636,2.0568,0
0.23577,0.25585,0.51541,3.0145,31.238,-0.3498,0.23577,2.9085,5.5789,0.74415,0.23577,0.92151,0.12974,0.23577,129.02,2.829,3.9085,0.23577,0.042261,9.8865,1.0271,0.0,0.042261,0.0756,0.076435,2.829,,2.2534,2.8744,0.014412,0.085222,20.249,18.026,18.026,0.025731,5.5789,,0.74415,0.0046122,0.71099,0.017475,0.0,38.559,28.673,1.5602,2.4239,11.959,-0.48805,-0.087481,3.0145,0.25585,0.055476,3.2534,3.2534,385.95,0.17332,0.31683,0.82694,0.0,36.919,12.73,16.739,21.805,24.39,0
0.060313,0.59305,0.050575,1.1478,-20.25,0.12826,0.07523,0.53999,1.0807,0.32024,0.07523,0.21984,0.12789,0.07523,1351.8,0.27001,1.6862,0.07523,0.060083,31.89,1.2176,0.095941,0.04817,0.16483,0.32024,0.24486,0.82808,0.083289,4.507,0.4193,0.060083,107.81,3.3857,0.16178,0.095941,1.2662,1.1297,0.57109,0.076624,0.20346,0.10782,0.076624,94.202,62.312,0.55133,0.82811,34.464,0.011043,0.0088192,0.6623,0.3422,0.29536,0.52739,0.94049,1625.1,0.074675,0.18834,0.92533,0.7833,11.445,5.8576,99.755,3.659,2.062,0
0.13675,0.46667,0.13994,1.3196,-11.933,0.0,0.13675,1.1428,4.3849,0.53333,0.14247,0.31234,0.043987,0.13675,883.12,0.41331,2.1428,0.13675,0.031186,22.335,0.86763,0.14245,0.031186,0.33241,0.38046,0.41331,24.905,0.33143,3.3598,0.098286,0.032205,37.655,9.6933,9.0939,0.14103,4.3849,22.111,0.54732,0.032162,0.10536,0.078332,0.032487,44.253,21.918,0.50963,0.70677,23.078,0.086321,0.019686,1.238,0.43782,0.10316,1.2631,1.2962,320.41,0.032162,0.2564,0.96885,0.02624,16.342,16.653,36.444,10.015,10.385,0
